path,extent_lba,size,flags,is_dir
/SPACENUT/FLAT08.BMP,26335,1400,0x00,False
/SPACENUT/GOODSHL.BMP,26313,1304,0x00,False
/SPACENUT/GOODSHR.BMP,26315,1304,0x00,False
/SPACENUT/GOODSHT.BMP,26314,1304,0x00,False
/SPACENUT/HIGH.WAV,25914,36212,0x00,False
/SPACENUT/HITBAD.WAV,25903,10404,0x00,False
/SPACENUT/HITME.WAV,25909,8624,0x00,False
/SPACENUT/INVADERS.MID,25869,1804,0x00,False
/SPACENUT/LASER.WAV,25932,13798,0x00,False
/SPACENUT/LASERD.BMP,26317,1080,0x00,False
/SPACENUT/LASERUP.BMP,26316,1080,0x00,False
/SPACENUT/MOM1.BMP,26318,2360,0x00,False
/SPACENUT/PAN_JAM.MID,25864,9830,0x00,False
/SPACENUT/PYRAMID1.BMP,26311,1504,0x00,False
/SPACENUT/PYRAMID2.BMP,26310,1504,0x00,False
/SPACENUT/PYRAMID3.BMP,26309,1504,0x00,False
/SPACENUT/PYRAMID4.BMP,26312,1504,0x00,False
/SPACENUT/REDBOLT.BMP,26350,1080,0x00,False
/SPACENUT/SCORES.WAV,25871,65093,0x00,False
/SPACENUT/SHIP2A.BMP,26324,1400,0x00,False
/SPACENUT/SHIP2B.BMP,26326,1400,0x00,False
/SPACENUT/SHIP3A.BMP,26327,1320,0x00,False
/SPACENUT/SHIP3B.BMP,26328,1320,0x00,False
/SPACENUT/SHIP4.BMP,26347,1700,0x00,False
/SPACENUT/SHIP5A.BMP,26348,2040,0x00,False
/SPACENUT/SHIP5B.BMP,26349,2040,0x00,False
/SPACENUT/SHIP7A.BMP,26367,1420,0x00,False
/SPACENUT/SHIP7B.BMP,26368,1420,0x00,False
/SPACENUT/SHIP7C.BMP,26369,1420,0x00,False
/SPACENUT/SHIP7D.BMP,26370,1420,0x00,False
/SPACENUT/SN0030.BMP,26270,12636,0x00,False
/SPACENUT/SN_BGND.MID,25859,9830,0x00,False
/SPACENUT/SPACENUT.EXE,25836,45700,0x00,False
/SPACENUT/SYNTH.WAV,25987,579402,0x00,False
